"","palabra_1","palabra_2","palabra_3","palabra_4","palabra_5","gaais_1n","gaais_2n","gaais_3n","gaais_4n","gaais_5n","gaais_6n","gaais_7n","gaais_8n","gaais_9n","gaais_1p","gaais_2p","gaais_3p","gaais_4p","gaais_5p","gaais_6p","gaais_7p","gaais_8p","conocimiento","experiencia","edad","genero","estudio","ocupacion","uso_redes","uso_plataformas","uso_apps","uso_ias","uso_asistentes","uso_robots","minipip_1","minipip_2","minipip_3","minipip_4","minipip_5","minipip_6r","minipip_7r","minipip_8r","minipip_9r","minipip_10r","minipip_11","minipip_12","minipip_13","minipip_14","minipip_15r","minipip_16r","minipip_17r","minipip_18r","minipip_19r","minipip_20r","timestamp","id"
"1","comunicacion","chatgpt","robot","terminator","mente",2,4,2,1,4,4,2,2,2,3,2,4,3,4,4,4,4,6,4,42,"Trans / No-binarix","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,4,4,1,1,2,2,3,2,4,4,2,2,3,1,1,1,4,3,1,4,1,2,4,1,2023-11-10 21:05:06.918,1
"2","Tecnología","Manipulación","Futuro","Robots","Soluciones",2,2,4,2,4,3,2,2,5,4,3,5,4,4,4,2,4,7,7,35,"Varón","Posgrado","Ocupado/a en bibliotecas, educación o capacitación",4,4,2,3,3,1,2,5,4,2,4,2,1,2,2,1,4,5,5,2,1,4,1,1,2,2,2023-11-17 11:10:01.414,2
"3","Sistema","Información","Informática","Rapidez","Futuro",5,2,2,1,1,2,1,1,1,4,4,3,4,5,4,4,4,6,6,50,"Varón","Universitario o terciario","Ocupado/a en operaciones comerciales o financieras",2,4,3,2,1,1,3,5,4,2,5,3,1,1,3,4,5,4,5,3,1,5,1,3,5,2,2023-11-30 09:10:57.040999,3
"4","Robot","Ayuda","Cerebro","Soluciones","Servicio",3,1,1,1,5,3,3,1,1,5,3,3,3,5,1,3,3,3,1,37,"Mujer","Universitario o terciario","Ocupado/a en ventas y actividades comerciales",4,4,2,1,2,1,3,5,4,1,5,1,1,1,1,3,5,5,5,5,3,3,1,1,4,1,2023-11-30 09:30:38.932,4
"5","Sistema","Rendimiento","Efectividad","Rapidez","Robotica",5,3,3,2,3,2,2,2,2,2,5,3,4,4,3,2,3,4,5,43,"Mujer","Universitario o terciario","Ocupado/a en operaciones comerciales o financieras",4,4,4,3,3,2,4,4,3,1,3,2,2,2,3,2,3,5,5,2,2,4,1,1,5,3,2023-11-30 09:33:08.305,5
"6","Tecnología","Virtual",".",".",".",4,1,1,1,4,1,3,1,1,3,1,3,2,1,3,2,3,8,8,45,"Mujer","Universitario o terciario","Ocupado/a en administración o gestión",3,4,3,2,1,1,3,4,4,2,4,3,3,1,4,3,2,3,2,1,3,5,1,2,2,2,2023-11-30 09:35:31.427,6
"7","Redes neuronales","Supervisión","Aprendizaje automático","Distopía","Invierno de la IA",3,1,1,1,3,1,3,1,4,5,1,5,5,5,5,4,5,6,6,39,"Varón","Posgrado","Ocupado/a en matemáticas o computación",4,4,2,3,1,1,1,4,5,1,4,4,2,1,3,1,1,3,4,1,1,5,1,2,5,1,2023-11-30 09:40:27.114,7
"8","Computadora","robosts","asombroso","Rapidez","Miedo",2,4,2,3,2,3,1,2,2,5,4,4,3,3,5,2,2,7,9,34,"Mujer","Universitario o terciario","Ocupado/a en ventas y actividades comerciales",4,3,4,3,1,1,2,5,4,3,4,4,4,3,3,3,2,3,2,1,2,3,1,4,3,2,2023-11-30 09:57:58.223,8
"9","Tecnología","Progreso","Actualidad","Futurismo","Desempleo",5,5,2,5,4,5,3,4,5,3,1,3,3,5,5,5,4,3,3,28,"Mujer","Universitario o terciario","Ocupado/a en ventas y actividades comerciales",4,3,3,1,3,1,4,5,3,1,2,5,2,1,3,3,2,4,4,1,4,3,2,3,4,4,2023-11-30 09:58:57.755,9
"10","Tecnología","Miedo","Posibilidad","Ambiguo","Robots",1,3,2,4,3,5,5,5,2,3,1,3,1,5,5,1,3,3,6,25,"Mujer","Universitario o terciario","Ocupado/a en ventas y actividades comerciales",4,4,4,2,3,1,3,5,3,3,4,3,3,1,2,2,2,4,4,3,2,3,1,2,4,3,2023-11-30 10:34:05.1,10
"11","Futuro","Tecnologia","Reemplazo","Desconocimiento","Velocidad",2,4,2,3,4,4,3,2,3,3,1,4,3,1,5,2,3,3,5,36,"Varón","Universitario o terciario","Ocupado/a en administración o gestión",4,4,4,1,2,1,3,1,3,1,2,3,4,2,4,1,3,2,2,2,1,2,3,4,4,4,2023-11-30 11:12:43.822,11
"12","Chatgpt","Openai","Lenguaje","Miedo","Código",3,4,2,2,4,4,3,3,2,4,3,4,4,4,4,3,5,6,6,34,"Varón","Posgrado","Ocupado/a en matemáticas o computación",3,4,1,4,1,1,3,3,3,2,3,2,3,2,2,1,5,3,5,5,2,5,2,4,2,4,2023-12-04 23:34:12.302,12
"13","machine","prediccion","chat gpt","redes","robot",1,3,3,2,5,4,4,4,5,5,4,5,5,5,5,5,5,9,9,34,"Varón","Universitario o terciario","Ocupado/a en matemáticas o computación",4,4,3,4,3,3,4,4,4,1,4,2,3,5,4,3,3,2,4,2,4,4,1,5,5,2,2023-12-05 18:11:22.287,13
"14","Progreso","Oportunidadades","Automatización","Beneficios","Mejora",2,1,1,2,4,2,4,2,4,5,3,5,5,5,5,5,5,7,4,28,"Varón","Universitario o terciario","Ocupado/a en matemáticas o computación",4,4,2,1,2,2,3,4,4,2,3,3,2,2,4,3,5,3,4,2,3,3,2,3,4,3,2023-12-09 20:57:01.338,14
"15","Robot","Metal","Sentimientos","Desierto","Bruma",2,3,3,4,4,4,4,4,2,3,3,3,3,2,3,4,3,2,2,40,"Mujer","Secundario","Ocupado/a en comunicación, arte, deportes, o entretenimiento",4,4,3,2,2,2,1,3,3,3,4,3,2,1,3,2,3,4,4,2,3,4,1,3,4,2,2023-12-09 20:58:13.652,15
"16","Chatgpt","Robot","Internet","Redes sociales","Innovacion",1,5,2,2,5,4,2,2,3,4,2,4,4,5,5,4,4,6,4,36,"Varón","Secundario","Ocupado/a en bibliotecas, educación o capacitación",4,4,4,2,3,1,3,4,4,3,2,5,2,2,4,3,2,4,5,2,2,4,2,2,4,4,2023-12-09 21:05:20.328,16
"17","Asistencia","Automatica","Computadora","Rapida","Mecanizada",2,2,2,1,4,2,2,2,3,4,4,5,4,4,4,4,4,5,5,32,"Varón","Universitario o terciario","Ocupado/a en agricultura, pesca y ganadería",3,3,3,2,2,2,4,4,2,2,4,3,1,3,3,3,3,3,4,2,2,3,1,3,3,3,2023-12-09 21:05:46.322999,17
"18","Progreso","Actualización","Peligro","Util","Tecnología",2,5,4,5,3,5,2,4,4,5,1,4,5,5,5,3,2,4,5,26,"Mujer","Universitario o terciario","Ocupado/a en servicios de salud",4,4,2,1,1,1,1,5,2,4,4,1,1,3,3,1,5,5,2,2,4,4,1,5,2,2,2023-12-09 21:12:52.009,18
"19","chat gpt","bard","redes neuronales","datos","genIA",5,1,1,2,5,4,4,2,1,4,5,4,5,5,4,4,5,7,9,43,"Varón","Posgrado","Ocupado/a en administración o gestión",4,3,2,3,3,2,2,4,3,2,3,4,2,2,5,1,3,4,4,2,1,4,2,2,1,1,2023-12-09 21:13:31.027,19
"20","Futuro","Peligro","Trabajo","Seguridad","Ayuda",5,3,3,2,3,5,4,2,5,3,3,3,3,5,4,4,3,3,5,36,"Varón","Secundario","Ocupado/a en administración o gestión",4,4,4,1,2,1,3,5,3,3,5,3,1,1,3,3,1,5,5,3,3,2,3,2,3,2,2023-12-09 21:25:11.044,20
"21","Futurismo","Robot","Tecnología","Velocidad","Ciencia",3,1,1,1,5,3,2,1,1,5,5,5,5,5,5,5,5,5,5,37,"Mujer","Universitario o terciario","Ocupado/a en administración o gestión",4,4,2,2,2,1,1,5,4,3,4,3,1,1,2,1,4,5,5,4,3,3,1,1,3,3,2023-12-09 21:25:34.343,21
"22","Robot","Futuro","Desconfianza","Deshumanización","Preocupación",2,5,4,4,1,4,2,4,5,3,2,2,3,3,4,2,5,4,4,39,"Mujer","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,3,3,2,2,2,3,5,4,3,4,1,1,1,3,3,4,4,4,2,2,4,1,1,3,1,2023-12-09 21:25:51.093999,22
"23","tecnología","innovación","increíble","automatización","robots",1,4,1,3,2,4,1,2,2,5,3,4,5,5,5,3,1,3,1,19,"Mujer","Universitario o terciario","Ocupado/a en el cuidado de otras personas",4,4,2,1,1,1,2,5,4,4,4,2,1,1,3,1,2,4,4,5,2,5,1,2,2,1,2023-12-09 22:15:39.209,23
"24","Computadora","Rapidez","Eficacia","Practicidad","Accesibilidad",1,4,4,4,1,4,1,4,5,3,1,3,3,4,4,5,1,1,1,25,"Mujer","Universitario o terciario","Estudiante",4,4,2,1,2,1,1,5,2,4,4,1,1,1,1,1,5,5,4,4,2,2,1,2,1,1,2023-12-09 22:37:28.228,24
"25","Tecnologia","Rapidez","Robot","Ciencia","Máquina 2",3,1,2,5,4,5,4,5,5,2,2,2,3,2,5,4,4,1,1,59,"Mujer","Universitario o terciario","Ocupado/a en administración o gestión",2,3,3,1,3,3,3,4,4,3,3,1,4,1,3,2,2,5,4,5,5,3,3,3,3,4,2023-12-09 23:20:11.88,25
"26","Rápido","Solución","Eficiencia","Respuestas","Diverso",2,4,4,1,4,3,3,1,1,5,2,3,4,4,5,2,5,3,5,30,"Mujer","Universitario o terciario","Ocupado/a en servicios de salud",4,4,4,2,1,1,3,4,3,3,2,2,1,3,3,5,5,4,5,2,5,3,1,1,3,2,2023-12-09 23:23:49.894,26
"27","Herramienta","Asistente","Silucion","Busqueda","Respuesta",4,4,1,2,5,3,3,1,1,5,3,5,4,5,5,3,5,7,7,39,"Varón","Secundario","Ocupado/a en matemáticas o computación",3,4,2,3,1,1,2,3,3,2,3,2,2,5,2,1,2,3,1,1,1,3,2,5,2,2,2023-12-09 23:35:07.58,27
"28","Sistema","Información","Peligro","Incontrolado","Herramienta",2,4,3,2,3,4,2,3,5,4,1,4,4,4,5,3,4,5,3,35,"Varón","Posgrado","Ocupado/a en legales",2,4,3,1,1,1,3,5,4,1,4,1,1,2,3,2,3,5,5,1,1,2,1,2,2,2,2023-12-09 23:53:22.585,28
"29","Velocidad","Precision","Capacidad","Trabajo","Certeza",5,1,1,1,1,1,1,1,1,5,1,1,5,5,1,5,5,5,1,61,"Mujer","Universitario o terciario","Ocupado/a en administración o gestión",1,4,1,1,3,1,4,5,5,1,3,1,1,3,3,1,5,5,3,1,1,5,1,1,4,3,2023-12-10 00:28:39.054,29
"30","Incognita","Futuro","Suerte","Desconocimiento","Fe",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,58,"Varón","Secundario","Ocupado/a en elaboración y servicio de alimentos",4,4,1,1,1,1,3,5,4,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,2023-12-10 00:35:29.274,30
"31","Tecnología","Robot","Académico","Resolver","Innovación",2,4,3,4,2,3,2,3,4,4,3,3,3,2,4,3,3,3,3,33,"Mujer","Posgrado","Ocupado/a en el cuidado de otras personas",4,3,2,2,2,1,3,5,4,3,4,2,2,2,4,2,4,4,4,2,2,4,1,2,2,2,2023-12-10 07:32:17.725,31
"32","Robot","dominar","no creatividad","facilidad","futuro",2,5,3,3,4,4,1,3,4,4,1,2,3,4,5,2,2,3,3,32,"Mujer","Posgrado","Ocupado/a en servicios de salud",4,4,4,1,3,2,3,5,3,3,5,1,1,3,3,4,3,4,4,3,2,3,1,3,3,1,2023-12-10 10:41:22.378,32
"33","Respuesta","Informacion","Solucion","Automatico","Maquina",4,2,3,3,2,1,3,2,4,3,2,3,3,4,4,3,2,4,3,38,"Varón","Universitario o terciario","Ocupado/a en operaciones comerciales o financieras",4,4,2,1,2,1,2,5,4,2,4,1,1,4,4,4,5,4,3,1,2,4,1,3,5,1,2023-12-10 10:54:21.983,33
"34","Eficacia","Innovación","Desarrollo","Oportunidades","Automatización",3,3,4,4,2,4,3,4,4,2,3,4,2,2,2,3,2,6,6,32,"Varón","Posgrado","Ocupado/a en administración o gestión",2,3,3,2,2,1,3,4,4,3,3,1,1,2,4,2,4,4,5,3,2,3,1,1,2,3,2023-12-10 16:26:24.365,34
"35","Automático","Avance","Peligro","Interacción","Amigarse",3,2,1,3,4,3,3,2,3,5,1,3,4,5,5,4,3,7,8,37,"Varón","Universitario o terciario","Ocupado/a en el cuidado de otras personas",4,4,2,1,1,2,1,5,3,2,4,4,1,3,4,3,1,4,3,2,3,5,1,3,3,2,2023-12-10 17:07:16.853,35
"36","Estadística","Ayuda","Desarrollo","Tecnologia","Revolución",4,2,1,3,4,4,3,1,1,5,3,4,5,5,5,5,5,8,9,44,"Varón","Posgrado","Ocupado/a en matemáticas o computación",4,4,3,4,2,4,2,4,3,2,3,2,2,1,3,4,4,4,4,3,4,4,2,3,4,2,2023-12-10 22:29:01.042,36
"37","Intriga","Miedo","Ayuda","Peligroso","Avance",1,5,3,3,2,5,2,3,2,5,2,5,4,5,5,3,4,6,5,34,"Mujer",NA,"Ocupado/a en servicios de salud",4,4,3,2,2,1,3,5,4,4,3,1,1,2,2,2,3,4,4,3,2,3,1,2,4,2,2023-12-11 10:44:54.181,37
"38","Avance tecnológico","Desafío","Temor","Desconocimiento","Herramienta",2,5,4,4,3,4,3,3,3,3,3,4,3,4,5,4,3,1,1,33,"Mujer","Posgrado","Ocupado/a en servicios de salud",4,3,2,1,2,1,2,5,4,2,4,3,2,1,5,3,1,3,5,1,3,5,1,2,4,1,2023-12-11 13:24:27.996,38
"39","Neuromante","Hal 3000","turing","versión fuerte de la analogía","saraza",1,4,4,2,3,4,3,4,4,2,3,3,3,3,3,1,3,7,7,50,"Mujer","Prefiero no decirlo","Ocupado/a en legales",4,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2023-12-14 13:25:20.684,39
"40","Peligro","Avance","Incoherencia","Irracional","Desligue",2,2,1,5,2,5,2,4,4,4,4,4,4,4,4,3,4,9,8,27,"Varón","Universitario o terciario","Ocupado/a en comunicación, arte, deportes, o entretenimiento",4,4,3,3,3,2,1,5,5,5,5,3,1,3,1,1,4,5,5,4,1,5,1,3,3,5,2024-03-05 20:31:11.151999,40
"41","procesos.","desarrollo.","minimizar.","vida.","futuro.",5,1,1,4,4,2,4,1,5,5,4,5,4,5,5,3,5,7,7,43,"Varón","Universitario o terciario","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,3,4,3,3,5,5,5,1,5,1,4,2,4,1,4,5,5,3,1,5,3,1,5,1,2024-03-06 10:08:03.069,41
"42","Futuro","Yo Robot","Automatización","Peligro","Herramienta",5,5,1,3,5,5,2,1,2,5,1,5,5,5,5,5,5,5,6,27,"Mujer","Universitario o terciario","Ocupado/a en administración o gestión",4,4,3,2,2,2,2,5,5,5,4,5,1,1,1,1,1,5,5,5,2,1,1,2,1,2,2024-03-06 11:18:35.459,42
"43","Tecnología","Programación","Evolución","Copilot","Riesgo",5,1,1,3,4,5,3,2,4,5,4,5,5,5,5,2,5,6,7,22,"Mujer","Universitario o terciario","Estudiante",4,4,4,4,2,1,3,5,3,4,5,2,1,1,2,1,4,5,5,4,1,3,1,1,3,1,2024-03-06 11:23:34.666,43
"44","tecnología","avance","robótica","máquina","autómata",2,5,4,3,5,3,3,3,4,5,5,4,5,5,5,5,5,4,6,43,"Mujer","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,4,4,3,3,2,1,5,4,3,4,3,2,4,5,3,2,3,3,4,2,5,2,5,3,1,2024-03-06 15:42:37.558,44
"45","Superficial","Superfluo","poco durable","coeficiente intelectual","frio",1,2,3,3,2,3,3,3,3,3,2,3,4,3,5,5,4,2,1,43,"Mujer","Universitario o terciario","Estudiante",2,3,2,1,1,1,4,4,4,4,3,4,4,1,2,5,2,3,5,4,5,3,2,1,3,3,2024-03-06 15:45:35.399,45
"46","Tecnología","Ciencia","Accesibilidad","Cambio","Construcción",1,5,4,1,4,4,1,1,3,5,4,3,4,5,5,2,4,7,7,37,"Mujer","Universitario o terciario","Ocupado/a en ciencias sociales, físicas o de la vida",3,3,3,2,2,3,2,5,4,4,4,1,1,2,1,2,4,4,4,4,1,3,1,2,1,1,2024-03-07 10:07:21.4,46
"47","Dominación","Onmipresente","Interconexión","Capacidad propia","Personas",2,4,2,3,4,4,4,4,1,4,3,4,3,4,3,3,1,8,7,35,"Varón","Universitario o terciario","Ocupado/a en reparación, mantenimiento, limpieza",1,4,2,2,3,2,4,4,4,2,4,1,1,1,4,1,4,4,5,2,1,3,1,1,2,2,2024-03-07 16:48:00.017,47
"48","algoritmo","datos","aplicaciones","bots","automatización",1,1,2,1,1,2,1,1,4,5,3,4,4,4,5,4,5,6,6,33,"Varón","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,3,2,2,2,1,1,5,4,1,5,5,1,3,4,1,1,4,5,1,1,5,1,1,1,1,2024-03-07 18:27:10.556,48
"49","Automatización","Sistematicidad","Velocidad","Eficiencia","Incertidumbre",3,2,3,2,5,4,3,2,2,5,4,4,4,4,4,3,4,7,8,24,"Varón","Universitario o terciario","Ocupado/a en ciencias sociales, físicas o de la vida",2,4,2,3,2,1,2,5,4,2,5,2,1,4,5,1,2,5,4,1,1,2,1,3,5,1,2024-03-28 18:23:00.739,49
"50","Facil","Peligro","Ayuda","Velocidad","Atajo",1,5,2,3,5,4,2,3,3,2,2,3,1,3,5,1,2,6,4,31,"Varón","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,4,3,2,2,1,1,3,2,1,4,2,1,4,3,1,2,5,5,3,1,5,1,4,4,1,2024-04-01 13:08:19,50
"51","Robot","Tecnología","Digital","Investigación","Soluciones",3,3,2,1,2,2,1,2,4,4,2,4,4,5,5,3,5,5,4,46,"Mujer","Universitario o terciario","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,4,2,2,3,1,5,3,3,3,2,1,4,2,2,3,4,3,3,2,5,1,4,4,4,2024-04-01 13:15:12.364,51
"52","Tecnología","Robot","Impersonal","Evolución","Digital",1,4,4,4,2,5,2,3,4,4,3,3,3,4,3,2,3,4,3,36,"Mujer","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,4,3,2,1,1,4,5,5,3,4,5,2,2,4,3,2,4,5,3,3,4,1,2,3,3,2024-04-01 13:46:28.161,52
"53","Moderno","Miedo","Calculador","Útil","Potencial",3,2,1,1,5,1,3,1,2,5,4,5,5,5,5,4,3,7,6,23,"Varón","Universitario o terciario","Estudiante",4,4,2,3,2,1,2,4,4,2,4,5,5,1,4,1,1,2,5,1,1,5,4,1,5,2,2024-04-06 15:34:50.602,53
"54","datos","lenguaje","patrones","procesamiento","informacion",3,2,3,2,4,3,4,3,4,4,3,5,5,5,5,3,5,6,8,49,"Varón","Secundario","Ocupado/a en ventas y actividades comerciales",3,3,2,2,1,2,3,4,3,2,4,3,2,4,3,1,5,4,4,3,1,4,1,4,3,2,2024-04-07 00:37:50.127,54
"55","avasallante","ficcion","desconociminto","intrigante","era",4,5,2,2,2,4,2,3,5,4,1,3,4,3,4,2,3,2,2,45,"Mujer","Universitario o terciario","Ocupado/a en ventas y actividades comerciales",4,4,2,1,1,1,3,5,3,1,3,2,1,1,3,4,5,4,4,2,3,3,1,1,4,2,2024-04-07 11:43:27.14,55
"56","Robot","Ciencia","Tecnología","Futuro","Ciencia ficción",3,5,3,2,4,2,1,1,5,4,5,5,5,5,4,5,3,2,2,31,"Mujer","Universitario o terciario","Ocupado/a en comunicación, arte, deportes, o entretenimiento",4,4,4,1,1,1,5,4,5,5,5,1,3,1,1,3,5,4,5,5,3,3,3,1,3,1,2024-04-14 20:15:37.235,56
"57","Herramienta","Recurso","Precaucion","Automatizacion","Deshumanizacion",1,2,3,2,1,3,2,3,3,3,1,2,2,3,5,2,2,5,4,45,"Varón","Universitario o terciario","Ocupado/a en operaciones comerciales o financieras",3,3,3,1,2,1,1,4,4,3,2,3,1,2,2,4,3,2,4,4,2,1,2,3,3,2,2024-04-17 09:40:59.484001,57
"58","Skynet","Máquina","Manipulación","Poder","Información",2,3,3,3,4,3,1,2,4,5,3,4,4,5,4,3,4,6,5,48,"Varón","Universitario o terciario","Ocupado/a en comunicación, arte, deportes, o entretenimiento",4,4,3,2,2,1,4,5,3,1,4,3,2,1,4,2,3,4,5,1,2,4,1,2,2,2,2024-04-18 00:15:19.579,58
"59","falso","informacion","tecnologia","robot","futuro",3,5,5,5,4,5,2,5,4,3,2,4,4,4,4,1,4,7,5,24,"Mujer","Universitario o terciario","Ocupado/a en ventas y actividades comerciales",4,4,4,2,3,4,4,5,1,4,5,1,1,3,1,1,4,4,4,4,2,3,1,2,2,1,2024-04-19 11:55:09.835,59
"60","Robot","eficiencia","inhumano","acero","rapidez",4,1,3,4,2,4,3,4,4,2,1,3,2,4,4,2,3,1,1,23,"Varón","Universitario o terciario","Estudiante",4,4,3,1,1,2,3,5,4,2,5,1,1,1,4,2,4,4,4,4,2,2,1,1,4,1,2024-04-19 12:06:34.707,60
"61","asistencia","soporte","desarrollo","co-piloto","refuerzo",3,1,1,2,2,2,3,1,1,5,4,5,3,4,4,5,5,7,7,24,"Varón","Universitario o terciario","Estudiante",3,4,1,4,4,1,4,4,2,2,4,1,1,3,4,1,5,4,3,2,1,2,2,2,5,4,2024-04-19 12:10:47.307,61
"62","Agilidad","Solución","Tecnología","Reemplazo","Entendimiento",3,4,3,2,3,2,2,3,2,4,4,4,1,3,4,3,3,8,8,37,"Mujer","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,3,2,2,1,4,5,5,3,3,1,1,3,2,3,3,4,5,2,1,5,1,3,3,2,2024-04-19 12:22:40.41,62
"63","Deshumanización","Incontrolable","Irresponsabilidad social","Aceleración","Cambio de paradigma",1,5,4,5,5,5,3,5,5,5,1,5,4,4,5,1,2,4,3,24,"Mujer","Universitario o terciario","Estudiante",4,4,4,1,2,1,4,5,1,5,4,2,1,3,1,1,3,4,4,4,2,2,1,4,1,2,2024-04-19 12:23:44.5,63
"64","Avance","Utilidad","Miedo","Pérdida","Automatización",1,5,1,3,3,4,1,1,1,3,1,5,1,5,5,1,2,2,4,22,"Mujer","Universitario o terciario","Ocupado/a en administración o gestión",4,4,3,2,2,1,1,3,3,5,5,3,3,1,1,4,1,3,5,5,1,3,1,1,1,1,2024-04-19 12:37:03.788,64
"65","Máquinas","Velocidad","Volumen","Dificultad","Sesgo",2,4,2,1,4,4,2,1,4,5,3,5,5,5,5,4,4,6,6,29,"Mujer","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,4,4,2,3,2,5,4,2,5,3,1,1,3,5,3,5,5,2,2,4,1,1,3,1,2024-04-19 12:51:29.846,65
